Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.25     0.00    62856     0.00     0.95  Animator::getTile()
  0.00      0.25     0.00    62856     0.00     0.00  bool __gnu_cxx::operator!=<GraphicsComponent**, std::vector<GraphicsComponent*, std::allocator<GraphicsComponent*> > >(__gnu_cxx::__normal_iterator<GraphicsComponent**, std::vector<GraphicsComponent*, std::allocator<GraphicsComponent*> > > const&, __gnu_cxx::__normal_iterator<GraphicsComponent**, std::vector<GraphicsComponent*, std::allocator<GraphicsComponent*> > > const&)
  0.00      0.25     0.00    62856     0.00     0.00  Animator::getTileSize() const
  0.00      0.25     0.00    62856     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, Animation> >::operator->() const
  0.00      0.25     0.00    62856     0.00     0.00  std::vector<GraphicsComponent*, std::allocator<GraphicsComponent*> >::end()
  0.00      0.25     0.00    62208     0.00     1.76  GraphicsComponent::update()
  0.00      0.25     0.00    62208     0.00     0.00  float leon::radToDeg<float>(float)
  0.00      0.25     0.00    62208     0.00     0.00  __gnu_cxx::__normal_iterator<GraphicsComponent**, std::vector<GraphicsComponent*, std::allocator<GraphicsComponent*> > >::operator*() const
  0.00      0.25     0.00    57436     0.00     0.00  Game::getTime() const
  0.00      0.25     0.00    55080     0.00     0.00  QuadComponent::postUpdate()
  0.00      0.25     0.00    53318     0.00     0.00  ShipModule::prePhysUpdate()
  0.00      0.25     0.00    53318     0.00     0.09  ShipModule::postPhysUpdate()
  0.00      0.25     0.00    47627     0.00     0.00  std::_Rb_tree<Directive, std::pair<Directive const, bool>, std::_Select1st<std::pair<Directive const, bool> >, std::less<Directive>, std::allocator<std::pair<Directive const, bool> > >::_M_end()
  0.00      0.25     0.00    45483     0.00     0.00  std::_Rb_tree<Directive, std::pair<Directive const, bool>, std::_Select1st<std::pair<Directive const, bool> >, std::less<Directive>, std::allocator<std::pair<Directive const, bool> > >::_M_begin()
  0.00      0.25     0.00    44772     0.00     0.00  Module::setAim(b2Vec2 const&)
  0.00      0.25     0.00    44477     0.00     0.00  std::_Rb_tree_iterator<std::pair<Directive const, bool> >::operator==(std::_Rb_tree_iterator<std::pair<Directive const, bool> > const&) const
  0.00      0.25     0.00    44472     0.00     0.00  std::map<Directive, bool, std::less<Directive>, std::allocator<std::pair<Directive const, bool> > >::lower_bound(Directive const&)
  0.00      0.25     0.00    44472     0.00     0.00  std::map<Directive, bool, std::less<Directive>, std::allocator<std::pair<Directive const, bool> > >::end()
  0.00      0.25     0.00    44472     0.00     0.00  std::map<Directive, bool, std::less<Directive>, std::allocator<std::pair<Directive const, bool> > >::operator[](Directive&&)
  0.00      0.25     0.00    44472     0.00     0.00  std::_Rb_tree<Directive, std::pair<Directive const, bool>, std::_Select1st<std::pair<Directive const, bool> >, std::less<Directive>, std::allocator<std::pair<Directive const, bool> > >::lower_bound(Directive const&)
  0.00      0.25     0.00    44472     0.00     0.00  std::_Rb_tree<Directive, std::pair<Directive const, bool>, std::_Select1st<std::pair<Directive const, bool> >, std::less<Directive>, std::allocator<std::pair<Directive const, bool> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<Directive const, bool> >*, std::_Rb_tree_node<std::pair<Directive const, bool> >*, Directive const&)
  0.00      0.25     0.00    44472     0.00     0.00  std::_Rb_tree<Directive, std::pair<Directive const, bool>, std::_Select1st<std::pair<Directive const, bool> >, std::less<Directive>, std::allocator<std::pair<Directive const, bool> > >::end()
  0.00      0.25     0.00    44406     0.00     0.00  std::map<Directive, bool, std::less<Directive>, std::allocator<std::pair<Directive const, bool> > >::key_comp() const
  0.00      0.25     0.00    44406     0.00     0.00  std::_Rb_tree<Directive, std::pair<Directive const, bool>, std::_Select1st<std::pair<Directive const, bool> >, std::less<Directive>, std::allocator<std::pair<Directive const, bool> > >::key_comp() const
  0.00      0.25     0.00    36216     0.00     0.00  __gnu_cxx::__normal_iterator<std::tr1::shared_ptr<GameObject>*, std::vector<std::tr1::shared_ptr<GameObject>, std::allocator<std::tr1::shared_ptr<GameObject> > > >::base() const
  0.00      0.25     0.00    29301     0.00     0.00  ShipModule::functioning()
  0.00      0.25     0.00    24294     0.00     0.00  std::_Rb_tree<Directive, std::pair<Directive const, bool>, std::_Select1st<std::pair<Directive const, bool> >, std::less<Directive>, std::allocator<std::pair<Directive const, bool> > >::_M_get_Node_allocator()
  0.00      0.25     0.00    24144     0.00     0.00  std::pair<Directive const, bool> const& std::forward<std::pair<Directive const, bool> const&>(std::remove_reference<std::pair<Directive const, bool> const&>::type&)
  0.00      0.25     0.00    23594     0.00     0.00  std::vector<std::tr1::shared_ptr<Module>, std::allocator<std::tr1::shared_ptr<Module> > >::begin()
  0.00      0.25     0.00    21643     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.25     0.00    20180     0.00     0.00  std::tr1::__shared_ptr<Weapon, (__gnu_cxx::_Lock_policy)2>::operator Weapon* std::tr1::__shared_ptr<Weapon, (__gnu_cxx::_Lock_policy)2>::*() const
  0.00      0.25     0.00    20180     0.00     0.00  std::tr1::__shared_ptr<Weapon, (__gnu_cxx::_Lock_policy)2>::operator->() const
  0.00      0.25     0.00    20120     0.00     0.00  FixtureComponent::getBodyPtr()
  0.00      0.25     0.00    20120     0.00     0.00  __gnu_cxx::__normal_iterator<std::tr1::shared_ptr<GameObject>*, std::vector<std::tr1::shared_ptr<GameObject>, std::allocator<std::tr1::shared_ptr<GameObject> > > >::__normal_iterator(std::tr1::shared_ptr<GameObject>* const&)
  0.00      0.25     0.00    20031     0.00     0.00  std::tr1::__shared_ptr<Batch, (__gnu_cxx::_Lock_policy)2>::operator->() const
  0.00      0.25     0.00    19874     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::string const, std::tr1::shared_ptr<Batch> > >::_M_ptr() const
  0.00      0.25     0.00    19874     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<std::string const, std::tr1::shared_ptr<Batch> > >::_M_addr() const
  0.00      0.25     0.00    19874     0.00     0.00  std::_Rb_tree_node<std::pair<std::string const, std::tr1::shared_ptr<Batch> > >::_M_valptr() const
  0.00      0.25     0.00    19440     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, std::tr1::shared_ptr<Batch> > >::operator->() const
  0.00      0.25     0.00    18108     0.00     0.00  bool __gnu_cxx::operator!=<std::tr1::shared_ptr<GameObject>*, std::vector<std::tr1::shared_ptr<GameObject>, std::allocator<std::tr1::shared_ptr<GameObject> > > >(__gnu_cxx::__normal_iterator<std::tr1::shared_ptr<GameObject>*, std::vector<std::tr1::shared_ptr<GameObject>, std::allocator<std::tr1::shared_ptr<GameObject> > > > const&, __gnu_cxx::__normal_iterator<std::tr1::shared_ptr<GameObject>*, std::vector<std::tr1::shared_ptr<GameObject>, std::allocator<std::tr1::shared_ptr<GameObject> > > > const&)
  0.00      0.25     0.00    18108     0.00     0.00  std::vector<std::tr1::shared_ptr<GameObject>, std::allocator<std::tr1::shared_ptr<GameObject> > >::end()
  0.00      0.25     0.00    17496     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, std::tr1::shared_ptr<Batch> > >::_Rb_tree_const_iterator(std::_Rb_tree_node<std::pair<std::string const, std::tr1::shared_ptr<Batch> > > const*)
  0.00      0.25     0.00    16096     0.00     0.00  __gnu_cxx::__normal_iterator<std::tr1::shared_ptr<GameObject>*, std::vector<std::tr1::shared_ptr<GameObject>, std::allocator<std::tr1::shared_ptr<GameObject> > > >::operator++()
  0.00      0.25     0.00    16096     0.00     0.00  __gnu_cxx::__normal_iterator<std::tr1::shared_ptr<GameObject>*, std::vector<std::tr1::shared_ptr<GameObject>, std::allocator<std::tr1::shared_ptr<GameObject> > > >::operator*() const
  0.00      0.25     0.00    16096     0.00     0.00  std::tr1::__shared_ptr<GameObject, (__gnu_cxx::_Lock_policy)2>::operator->() const
  0.00      0.25     0.00    16000     0.00     0.00  __gnu_cxx::__normal_iterator<std::tr1::shared_ptr<Controller>*, std::vector<std::tr1::shared_ptr<Controller>, std::allocator<std::tr1::shared_ptr<Controller> > > >::base() const
  0.00      0.25     0.00    15656     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::base() const
  0.00      0.25     0.00    13608     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, std::tr1::shared_ptr<Batch> > >::operator!=(std::_Rb_tree_const_iterator<std::pair<std::string const, std::tr1::shared_ptr<Batch> > > const&) const
  0.00      0.25     0.00    13608     0.00     0.00  std::map<std::string, std::tr1::shared_ptr<Batch>, std::less<std::string>, std::allocator<std::pair<std::string const, std::tr1::shared_ptr<Batch> > > >::cend() const
  0.00      0.25     0.00    13608     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::tr1::shared_ptr<Batch> >, std::_Select1st<std::pair<std::string const, std::tr1::shared_ptr<Batch> > >, std::less<std::string>, std::allocator<std::pair<std::string const, std::tr1::shared_ptr<Batch> > > >::end() const
  0.00      0.25     0.00    12792     0.00     0.00  Turret::setAim(b2Vec2 const&)
  0.00      0.25     0.00    11683     0.00     0.00  std::vector<Chunk*, std::allocator<Chunk*> >::size() const
  0.00      0.25     0.00    11643     0.00     0.00  Universe::getSlaveLocator()
  0.00      0.25     0.00    11643     0.00     0.00  std::tr1::__shared_ptr<SlaveLocator, (__gnu_cxx::_Lock_policy)2>::operator*() const
  0.00      0.25     0.00    11639     0.00     0.00  std::vector<Chunk*, std::allocator<Chunk*> >::operator[](unsigned int)
  0.00      0.25     0.00    11631     0.00     0.00  SlaveLocator::find(int)
  0.00      0.25     0.00    10060     0.00     0.26  Turret::prePhysUpdate()
  0.00      0.25     0.00    10060     0.00     0.35  Turret::postPhysUpdate()
  0.00      0.25     0.00    10060     0.00     0.00  Weapon::prePhysUpdate(b2Vec2 const&, b2Vec2 const&, float, b2Body*)
  0.00      0.25     0.00    10060     0.00     0.00  Weapon::postPhysUpdate(b2Vec2 const&, b2Vec2 const&, float, b2Body*)
  0.00      0.25     0.00     9768     0.00     0.00  Universe::getTimeStep() const
  0.00      0.25     0.00     9720     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, std::tr1::shared_ptr<Batch> > >::operator++()
  0.00      0.25     0.00     9600     0.00     0.00  __gnu_cxx::__normal_iterator<std::tr1::shared_ptr<Controller>*, std::vector<std::tr1::shared_ptr<Controller>, std::allocator<std::tr1::shared_ptr<Controller> > > >::__normal_iterator(std::tr1::shared_ptr<Controller>* const&)
  0.00      0.25     0.00     9136     0.00     0.00  Pool<float>::setValue(float)
  0.00      0.25     0.00     9127     0.00     0.00  Pool<float>::changeValue(float)
  0.00      0.25     0.00     9054     0.00     0.00  Thruster::prePhysUpdate()
  0.00      0.25     0.00     9054     0.00     0.09  Thruster::postPhysUpdate()
  0.00      0.25     0.00     8696     0.00     0.00  NetworkBoss::getNWState() const
  0.00      0.25     0.00     8119     0.00     0.00  Game::getNwBoss()
  0.00      0.25     0.00     8119     0.00     0.00  std::tr1::__shared_ptr<NetworkBoss, (__gnu_cxx::_Lock_policy)2>::operator*() const
  0.00      0.25     0.00     8048     0.00     0.72  Chunk::prePhysUpdate()
  0.00      0.25     0.00     8048     0.00     1.30  Chunk::postPhysUpdate()
  0.00      0.25     0.00     8048     0.00     0.00  Reactor::prePhysUpdate()
  0.00      0.25     0.00     8048     0.00     0.09  Reactor::postPhysUpdate()
  0.00      0.25     0.00     8000     0.00     0.00  bool __gnu_cxx::operator!=<std::tr1::shared_ptr<Controller>*, std::vector<std::tr1::shared_ptr<Controller>, std::allocator<std::tr1::shared_ptr<Controller> > > >(__gnu_cxx::__normal_iterator<std::tr1::shared_ptr<Controller>*, std::vector<std::tr1::shared_ptr<Controller>, std::allocator<std::tr1::shared_ptr<Controller> > > > const&, __gnu_cxx::__normal_iterator<std::tr1::shared_ptr<Controller>*, std::vector<std::tr1::shared_ptr<Controller>, std::allocator<std::tr1::shared_ptr<Controller> > > > const&)
  0.00      0.25     0.00     8000     0.00     0.00  std::vector<std::tr1::shared_ptr<Controller>, std::allocator<std::tr1::shared_ptr<Controller> > >::end()
  0.00      0.25     0.00     7803     0.00     0.00  bool __gnu_cxx::operator!=<char const*, std::vector<char, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > const&)
  0.00      0.25     0.00     7322     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<GraphicsLayer const, QuadBatchContainer> >::_M_ptr()
  0.00      0.25     0.00     7322     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<GraphicsLayer const, QuadBatchContainer> >::_M_addr()
  0.00      0.25     0.00     7322     0.00     0.00  std::_Rb_tree_node<std::pair<GraphicsLayer const, QuadBatchContainer> >::_M_valptr()
  0.00      0.25     0.00     7218     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::operator++()
  0.00      0.25     0.00     7218     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::operator*() const
  0.00      0.25     0.00     7218     0.00     0.00  void std::_Construct<char, char const&>(char*, char const&)
  0.00      0.25     0.00     7218     0.00     0.00  char* std::__addressof<char>(char&)
  0.00      0.25     0.00     7218     0.00     0.00  char const& std::forward<char const&>(std::remove_reference<char const&>::type&)
  0.00      0.25     0.00     7128     0.00     0.00  std::_Rb_tree_iterator<std::pair<GraphicsLayer const, QuadBatchContainer> >::operator->() const
  0.00      0.25     0.00     6686     0.00     0.00  std::_Rb_tree_iterator<std::pair<GraphicsLayer const, QuadBatchContainer> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<GraphicsLayer const, QuadBatchContainer> >*)
  0.00      0.25     0.00     6612     0.00     0.00  Module::directive(Directive)
  0.00      0.25     0.00     6554     0.00     0.00  Timer::isTimeUp() const
  0.00      0.25     0.00     6480     0.00     1.54  Beam::postUpdate()
  0.00      0.25     0.00     6479     0.00     1.54  Beam::deactivate()
  0.00      0.25     0.00     6400     0.00     0.00  __gnu_cxx::__normal_iterator<std::tr1::shared_ptr<Controller>*, std::vector<std::tr1::shared_ptr<Controller>, std::allocator<std::tr1::shared_ptr<Controller> > > >::operator++()
  0.00      0.25     0.00     6400     0.00     0.00  __gnu_cxx::__normal_iterator<std::tr1::shared_ptr<Controller>*, std::vector<std::tr1::shared_ptr<Controller>, std::allocator<std::tr1::shared_ptr<Controller> > > >::operator*() const
  0.00      0.25     0.00     6400     0.00     0.00  std::tr1::__shared_ptr<Controller, (__gnu_cxx::_Lock_policy)2>::operator->() const
  0.00      0.25     0.00     6396     0.00     0.58  Controller::processDirectives()
  0.00      0.25     0.00     6396     0.00     0.50  Chunk::setAim(b2Vec2 const&)
  0.00      0.25     0.00     6396     0.00     0.50  Controller::processAim() const
  0.00      0.25     0.00     6382     0.00     0.00  Camera::getView() const
  0.00      0.25     0.00     6102     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<Directive const, bool> > >::allocate(unsigned int, void const*)
  0.00      0.25     0.00     6102     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<Directive const, bool> > >::max_size() const
  0.00      0.25     0.00     6102     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<Directive const, bool> > > >::allocate(std::allocator<std::_Rb_tree_node<std::pair<Directive const, bool> > >&, unsigned int)
